"long","lat","group","order","region","subregion","long.new","X","Y"
-51.39014,70.56978,98,3392,"22 1",NA,128.60986,8672222.33317204,7325967.73292256
-53.10937,71.20485,98,3393,"22 1",NA,126.89063,8490367.05567299,7381994.73882159
-54.00422,71.54719,98,3394,"22 1",NA,125.99578,8394810.578283,7412010.08853671
-55,71.40653697,98,3395,"22 1",NA,125,8343043.604511,7399693.86180866
-55.83468,71.65444,98,3396,"22 1",NA,124.16532,8261774.04204211,7421386.57306997
-54.71819,72.58625,98,3397,"22 1",NA,125.28181,8237581.51079744,7502311.730833
-55.32634,72.95861,98,3398,"22 1",NA,124.67366,8157674.39157275,7534379.49578397
-56.12003,73.64977,98,3399,"22 1",NA,123.87997,8030829.79582694,7593492.67825866
-57.32363,74.71026,98,3400,"22 1",NA,122.67637,7835365.80111552,7683158.20412995
-58.59679,75.09861,98,3401,"22 1",NA,121.40321,7710288.40360592,7715680.04142742
-58.58516,75.51727,98,3402,"22 1",NA,121.41484,7663105.28464405,7750541.59326269
-61.26861,76.10238,98,3403,"22 1",NA,118.73139,7427147.56620943,7798861.51018882
-63.39165,76.1752,98,3404,"22 1",NA,116.60835,7286125.99146565,7804838.59553878
-66.06427,76.13486,98,3405,"22 1",NA,113.93573,7123579.94488067,7801528.53746043
-68.50438,76.06141,98,3406,"22 1",NA,111.49562,6978933.16310517,7795494.93491178
-69.66485,76.37975,98,3407,"22 1",NA,110.33515,6872238.13063028,7821581.18802325
-71.40257,77.00857,98,3408,"22 1",NA,108.59743,6697093.26785529,7872582.19623708
-68.77671,77.32312,98,3409,"22 1",NA,111.22329,6824467.41219868,7897803.68662872
-66.76397,77.37595,98,3410,"22 1",NA,113.23603,6942041.39906362,7902019.32488568
-71.04293,77.63595,98,3411,"22 1",NA,108.95707,6651612.47021445,7922677.03635284
-73.297,78.04419,98,3412,"22 1",NA,106.703,6470668.8975012,7954798.72127135
-73.15938,78.43271,98,3413,"22 1",NA,106.84062,6437640.60209208,7984988.23602878
-69.37345,78.91388,98,3414,"22 1",NA,110.62655,6612704.03663734,8021823.17458486
-65.7107,79.39436,98,3415,"22 1",NA,114.2893,6777039.46320641,8057947.77605409
-65.3239,79.75814,98,3416,"22 1",NA,114.6761,6758663.50081674,8084831.3011355
-68.02298,80.11721,98,3417,"22 1",NA,111.97702,6559974.05456132,8110949.12314241
-67.15129,80.51582,98,3418,"22 1",NA,112.84871,6567012.69215476,8139436.86952781
-63.68925,81.21396,98,3419,"22 1",NA,116.31075,6689842.61373612,8188006.42960301
-62.23444,81.3211,98,3420,"22 1",NA,117.76556,6761403.07519656,8195307.08954716
-62.65116,81.77042,98,3421,"22 1",NA,117.34884,6687165.91018402,8225469.37937777
-60.28249,82.03363,98,3422,"22 1",NA,119.71751,6792333.54540343,8242791.48921554
-57.20744,82.19074,98,3423,"22 1",NA,122.79256,6948645.23234619,8253006.83895858
-54.13442,82.19962,98,3424,"22 1",NA,125.86558,7121493.1973234,8253581.4242628
-53.04328,81.88833,98,3425,"22 1",NA,126.95672,7220486.58922361,8233261.19051773
-50.39061,82.43883,98,3426,"22 1",NA,129.60939,7304298.85211013,8268946.21217824
-48.00386,82.06481,98,3427,"22 1",NA,131.99614,7485098.66522587,8244826.251944
-46.59984,81.985945,98,3428,"22 1",NA,133.40016,7574639.13171474,8239672.54745741
-44.523,81.6607,98,3429,"22 1",NA,135.477,7734332.87675445,8218172.41915599
-46.9007,82.19979,98,3430,"22 1",NA,133.0993,7530756.90277334,8253592.42127951
-46.76379,82.62796,98,3431,"22 1",NA,133.23621,7485242.92218263,8280938.16822944
68.935,-48.625,99,3433,"23 1",NA,-111.065,-9192744.11211115,-5184272.89076337
69.58,-48.94,99,3434,"23 1",NA,-110.42,-9120165.17075296,-5217011.90450563
70.525,-49.065,99,3435,"23 1",NA,-109.475,-9034507.25443853,-5229993.05474705
70.56,-49.255,99,3436,"23 1",NA,-109.44,-9020001.03454676,-5249712.76402784
70.28,-49.71,99,3437,"23 1",NA,-109.72,-9014871.79614589,-5296878.07107366
68.745,-49.775,99,3438,"23 1",NA,-111.255,-9136867.32747341,-5303609.14772547
68.72,-49.2425,99,3439,"23 1",NA,-111.28,-9172432.62732183,-5248415.84958631
68.8675,-48.83,99,3440,"23 1",NA,-111.1325,-9185782.13196427,-5205583.52039573
68.935,-48.625,99,3441,"23 1",NA,-111.065,-9192744.11211115,-5184272.89076337
124.96868249,-8.89279022,100,3443,"24 1",NA,-55.03131751,-5179776.75959805,-951101.021578251
125.08624637,-8.6568873,100,3444,"24 1",NA,-54.91375363,-5169601.06669024,-925870.733837665
125.94707238,-8.43209482,100,3445,"24 1",NA,-54.05292762,-5089376.39461686,-901828.732825184
126.64470422,-8.39824676,100,3446,"24 1",NA,-53.35529578,-5023809.81446148,-898208.615999753
126.95724328,-8.27334482,100,3447,"24 1",NA,-53.04275672,-4994815.4943426,-884850.107501972
127.33592818,-8.39731658,100,3448,"24 1",NA,-52.66407182,-4958729.01191262,-898109.13141364
126.96799198,-8.66825612,100,3449,"24 1",NA,-53.03200802,-4992411.93114477,-927086.651732328
125.92588504,-9.10600718,100,3450,"24 1",NA,-54.07411496,-5088869.06952018,-973905.003677145
125.08852014,-9.39317311,100,3451,"24 1",NA,-54.91147986,-5166531.6315707,-1004617.98155694
125.07001997,-9.08998748,100,3452,"24 1",NA,-54.92998003,-5169476.43549928,-972191.664483369
124.96868249,-8.89279022,100,3453,"24 1",NA,-55.03131751,-5179776.75959805,-951101.021578251
16.34497684,-28.57670501,101,3455,"25 1","1",-163.65502316,-14907463.0652574,-3056312.51095356
16.82401737,-28.08216155,101,3456,"25 1","1",-163.17598263,-14884791.0007485,-3003419.19683349
17.21892866,-28.35594329,101,3457,"25 1","1",-162.78107134,-14837273.5545131,-3032700.90252695
17.38749719,-28.78351409,101,3458,"25 1","1",-162.61250281,-14803561.6298053,-3078432.29347139
17.83615197,-28.85637786,101,3459,"25 1","1",-162.16384803,-14759549.6440323,-3086225.73850751
18.46489912,-29.04546193,101,3460,"25 1","1",-161.53510088,-14694065.2275473,-3106450.30918331
19.00212731,-28.97244313,101,3461,"25 1","1",-160.99787269,-14648386.2708044,-3098640.11164035
19.89473433,-28.46110483,101,3462,"25 1","1",-160.10526567,-14588980.8176152,-3043948.41013396
19.89576786,-24.76779022,101,3463,"25 1","1",-160.10423214,-14725212.8345748,-2648963.82239243
20.16572554,-24.91796193,101,3464,"25 1","1",-159.83427446,-14695574.9186573,-2665024.08259581
20.75860925,-25.86813649,101,3465,"25 1","1",-159.24139075,-14609332.4597601,-2766639.59084738
20.66647017,-26.4774533,101,3466,"25 1","1",-159.33352983,-14596134.1333513,-2831801.5767596
20.889609,-26.82854298,101,3467,"25 1","1",-159.110391,-14562777.2095884,-2869348.29987792
21.60589603,-26.72653371,101,3468,"25 1","1",-158.39410397,-14500988.248608,-2858439.04786781
22.10596887,-26.28025604,101,3469,"25 1","1",-157.89403113,-14471318.7283831,-2810712.74226857
22.57953169,-25.97944752,101,3470,"25 1","1",-157.42046831,-14438441.6112071,-2778543.48693352
22.82427127,-25.50045867,101,3471,"25 1","1",-157.17572873,-14432228.2186928,-2727319.04750976
23.3120968,-25.26868987,101,3472,"25 1","1",-156.6879032,-14395045.4374649,-2702532.85944226
23.73356978,-25.39012949,101,3473,"25 1","1",-156.26643022,-14352365.3259731,-2715520.06808325
24.21126672,-25.67021575,101,3474,"25 1","1",-155.78873328,-14299238.336886,-2745473.39442106
25.02517053,-25.7196701,101,3475,"25 1","1",-154.97482947,-14222886.5423872,-2750762.18548813
25.66466638,-25.48681609,101,3476,"25 1","1",-154.33533362,-14171861.9308162,-2725860.06510227
25.76584883,-25.17484547,101,3477,"25 1","1",-154.23415117,-14172610.2685528,-2692496.75314088
25.94165205,-24.69637339,101,3478,"25 1","1",-154.05834795,-14171341.2050388,-2641326.04547167
26.48575321,-24.61632659,101,3479,"25 1","1",-153.51424679,-14123715.8626288,-2632765.29828004
26.78640669,-24.24069061,101,3480,"25 1","1",-153.21359331,-14107208.1991923,-2592591.89786455
27.11940962,-23.57432301,101,3481,"25 1","1",-152.88059038,-14095530.619091,-2521324.17976887
28.01723596,-22.82775359,101,3482,"25 1","1",-151.98276404,-14032904.2932679,-2441477.38973664
29.43218835,-22.09131276,101,3483,"25 1","1",-150.56781165,-13921127.8792314,-2362712.74524592
29.8390369,-22.10221649,101,3484,"25 1","1",-150.1609631,-13883238.0595456,-2363878.9390762
30.32288334,-22.27161183,101,3485,"25 1","1",-149.67711666,-13834248.8198254,-2381996.37121769
30.65986535,-22.15156748,101,3486,"25 1","1",-149.34013465,-13806114.4743745,-2369157.20625316
31.19140913,-22.2515097,101,3487,"25 1","1",-148.80859087,-13754477.1286651,-2379846.37915313
31.67039798,-23.65896901,101,3488,"25 1","1",-148.32960202,-13673640.0428625,-2530377.11077817
31.93058882,-24.3694166,101,3489,"25 1","1",-148.06941118,-13629897.2959624,-2606358.90691818
31.75240848,-25.48428395,101,3490,"25 1","1",-148.24759152,-13612933.5412109,-2725589.2696664
31.83777795,-25.8433318,101,3491,"25 1","1",-148.16222205,-13593692.5692243,-2763986.91049755
31.33315759,-25.66019053,101,3492,"25 1","1",-148.66684241,-13645867.3159185,-2744401.26794903
31.04407962,-25.73145233,101,3493,"25 1","1",-148.95592038,-13670120.3725517,-2752022.21065876
30.94966678,-26.02264902,101,3494,"25 1","1",-149.05033322,-13669324.347128,-2783163.56821595
30.67660851,-26.3980783,101,3495,"25 1","1",-149.32339149,-13681828.043667,-2823312.98240099
30.68596195,-26.74384531,101,3496,"25 1","1",-149.31403805,-13669106.4879984,-2860290.412724
31.28277306,-27.28587941,101,3497,"25 1","1",-148.71722694,-13595335.7126758,-2918258.05706674
31.86806034,-27.17792734,101,3498,"25 1","1",-148.13193966,-13545685.4437273,-2906713.05863354
32.07166548,-26.73382008,101,3499,"25 1","1",-147.92833452,-13542595.8959233,-2859218.2784122
32.83012048,-26.74219166,101,3500,"25 1","1",-147.16987952,-13472873.9422701,-2860113.56539881
32.58026493,-27.47015757,101,3501,"25 1","1",-147.41973507,-13470105.5254878,-2937965.94082126
32.4621326,-28.30101124,101,3502,"25 1","1",-147.5378674,-13449981.5388154,-3026825.71263429
32.20338871,-28.75240488,101,3503,"25 1","1",-147.79661129,-13456013.6809948,-3075104.8987873
31.52100142,-29.25738698,101,3504,"25 1","1",-148.47899858,-13497799.766294,-3129118.51866317
31.32556115,-29.40197763,101,3505,"25 1","1",-148.67443885,-13509615.8357259,-3144584.77076942
30.90176273,-29.90995696,101,3506,"25 1","1",-149.09823727,-13526738.1903402,-3198923.66330512
