Long,Lat,BATHY
95.5,88.5,4251.9683
96.5,88.5,4251.9683
97.5,88.5,4251.9683
98.5,88.5,4251.9683
99.5,88.5,4251.9683
100.5,88.5,4220.4727
101.5,88.5,4220.4727
102.5,88.5,4220.4727
103.5,88.5,4220.4727
104.5,88.5,4220.4727
105.5,88.5,4220.4727
106.5,88.5,4220.4727
107.5,88.5,4220.4727
108.5,88.5,4220.4727
109.5,88.5,4220.4727
110.5,88.5,4220.4727
111.5,88.5,4220.4727
112.5,88.5,4220.4727
113.5,88.5,4220.4727
114.5,88.5,4220.4727
115.5,88.5,4188.9766
116.5,88.5,4188.9766
117.5,88.5,4157.4805
118.5,88.5,4125.9844
119.5,88.5,4094.4883
120.5,88.5,4031.496
121.5,88.5,4000
122.5,88.5,3937.0078
123.5,88.5,3968.504
124.5,88.5,3842.5198
125.5,88.5,3685.0393
126.5,88.5,3527.559
127.5,88.5,3275.5906
128.5,88.5,2834.6458
129.5,88.5,2614.1733
130.5,88.5,2425.1968
131.5,88.5,2110.2363
132.5,88.5,1669.2914
133.5,88.5,1354.3307
134.5,88.5,1196.8503
135.5,88.5,1133.8583
136.5,88.5,1133.8583
137.5,88.5,1228.3464
138.5,88.5,1448.8188
139.5,88.5,1700.7874
140.5,88.5,1952.7559
141.5,88.5,2267.7166
142.5,88.5,2393.7007
143.5,88.5,2393.7007
144.5,88.5,2425.1968
145.5,88.5,2425.1968
146.5,88.5,2456.6929
147.5,88.5,2551.1812
148.5,88.5,2614.1733
149.5,88.5,2582.6772
150.5,88.5,2425.1968
151.5,88.5,2204.7244
152.5,88.5,2015.748
153.5,88.5,1669.2914
154.5,88.5,1637.7953
155.5,88.5,1763.7795
156.5,88.5,1858.2677
157.5,88.5,1826.7716
158.5,88.5,1889.7638
159.5,88.5,2173.2283
160.5,88.5,2551.1812
161.5,88.5,2582.6772
162.5,88.5,2551.1812
163.5,88.5,2582.6772
164.5,88.5,2645.6692
165.5,88.5,2740.1575
166.5,88.5,2803.1497
167.5,88.5,2866.1418
168.5,88.5,2897.6377
169.5,88.5,2834.6458
170.5,88.5,2834.6458
171.5,88.5,3023.622
172.5,88.5,3055.1182
173.5,88.5,3086.6143
174.5,88.5,3118.1104
175.5,88.5,3149.6062
176.5,88.5,3149.6062
177.5,88.5,3244.0945
178.5,88.5,3527.559
179.5,88.5,3779.5276
-179.5,87.5,3842.5198
-178.5,87.5,3842.5198
-177.5,87.5,3842.5198
-176.5,87.5,3842.5198
-175.5,87.5,3842.5198
-174.5,87.5,3842.5198
-173.5,87.5,3842.5198
-172.5,87.5,3842.5198
-171.5,87.5,3842.5198
-170.5,87.5,3842.5198
-169.5,87.5,3842.5198
-168.5,87.5,3811.0237
-167.5,87.5,3653.5432
-166.5,87.5,3527.559
-165.5,87.5,3370.0789
-164.5,87.5,3181.1023
-163.5,87.5,3086.6143
-162.5,87.5,3023.622
-161.5,87.5,2960.63
-160.5,87.5,2897.6377
-159.5,87.5,2866.1418
-158.5,87.5,2866.1418
-157.5,87.5,2960.63
-156.5,87.5,3212.5984
-155.5,87.5,2992.126
-154.5,87.5,2897.6377
-153.5,87.5,2866.1418
-152.5,87.5,2834.6458
-151.5,87.5,2771.6536
-150.5,87.5,2771.6536
-149.5,87.5,2803.1497
-148.5,87.5,2803.1497
-147.5,87.5,2803.1497
-146.5,87.5,2803.1497
-145.5,87.5,2866.1418
-144.5,87.5,2960.63
-143.5,87.5,3118.1104
-142.5,87.5,2960.63
-141.5,87.5,2992.126
-140.5,87.5,3023.622
-139.5,87.5,3055.1182
-138.5,87.5,3118.1104
-137.5,87.5,3118.1104
-136.5,87.5,3086.6143
-135.5,87.5,3023.622
-134.5,87.5,3023.622
-133.5,87.5,3023.622
-132.5,87.5,3023.622
-131.5,87.5,2960.63
-130.5,87.5,2960.63
-129.5,87.5,3149.6062
-128.5,87.5,3181.1023
-127.5,87.5,3023.622
-126.5,87.5,3212.5984
-125.5,87.5,3086.6143
-124.5,87.5,3055.1182
-123.5,87.5,3244.0945
-122.5,87.5,3212.5984
-121.5,87.5,3212.5984
-120.5,87.5,3181.1023
-119.5,87.5,3212.5984
-118.5,87.5,3212.5984
-117.5,87.5,3244.0945
-116.5,87.5,3275.5906
-115.5,87.5,3275.5906
-114.5,87.5,3212.5984
-113.5,87.5,3212.5984
-112.5,87.5,3118.1104
-111.5,87.5,3055.1182
-110.5,87.5,3181.1023
-109.5,87.5,3212.5984
-108.5,87.5,3181.1023
-107.5,87.5,3212.5984
-106.5,87.5,3149.6062
-105.5,87.5,2992.126
-104.5,87.5,2992.126
-103.5,87.5,2960.63
-102.5,87.5,2834.6458
-101.5,87.5,2803.1497
-100.5,87.5,2992.126
-99.5,87.5,2992.126
-98.5,87.5,2614.1733
-97.5,87.5,2267.7166
-96.5,87.5,2078.7402
-95.5,87.5,2047.2441
-94.5,87.5,2015.748
-93.5,87.5,2015.748
-92.5,87.5,2015.748
-91.5,87.5,1984.252
-90.5,87.5,1952.7559
-89.5,87.5,1952.7559
-88.5,87.5,1921.2599
-87.5,87.5,1921.2599
-86.5,87.5,1984.252
-85.5,87.5,1984.252
-84.5,87.5,1984.252
-83.5,87.5,1952.7559
-82.5,87.5,1984.252
-81.5,87.5,1984.252
-80.5,87.5,1984.252
-79.5,87.5,1984.252
-78.5,87.5,2015.748
-77.5,87.5,2173.2283
-76.5,87.5,2362.2048
-75.5,87.5,2488.189
-74.5,87.5,2425.1968
-73.5,87.5,2393.7007
-72.5,87.5,2299.2126
-71.5,87.5,2110.2363
-70.5,87.5,1921.2599
-69.5,87.5,1763.7795
-68.5,87.5,1543.3071
-67.5,87.5,1291.3386
-66.5,87.5,1196.8503
-65.5,87.5,1165.3544
-64.5,87.5,1165.3544
-63.5,87.5,1165.3544
-62.5,87.5,1165.3544
-61.5,87.5,1165.3544
-60.5,87.5,1133.8583
-59.5,87.5,1102.3622
-58.5,87.5,1102.3622
-57.5,87.5,1070.8661
-56.5,87.5,1165.3544
-55.5,87.5,1354.3307
-54.5,87.5,1448.8188
-53.5,87.5,1858.2677
-52.5,87.5,2110.2363
-51.5,87.5,2267.7166
-50.5,87.5,2456.6929
-49.5,87.5,2677.1653
-48.5,87.5,2803.1497
-47.5,87.5,2992.126
-46.5,87.5,3338.5828
-45.5,87.5,3496.063
-44.5,87.5,3559.0552
-43.5,87.5,3748.0315
-42.5,87.5,3811.0237
-41.5,87.5,3779.5276
-40.5,87.5,3716.5354
-39.5,87.5,3716.5354
-38.5,87.5,3716.5354
-37.5,87.5,3716.5354
-36.5,87.5,3748.0315
-35.5,87.5,3811.0237
-34.5,87.5,3842.5198
-33.5,87.5,3874.0159
-32.5,87.5,3905.5117
-31.5,87.5,3937.0078
-30.5,87.5,3968.504
-29.5,87.5,3968.504
-28.5,87.5,4000
-27.5,87.5,4031.496
-26.5,87.5,4062.9922
-25.5,87.5,4094.4883
-24.5,87.5,4094.4883
-23.5,87.5,4188.9766
-22.5,87.5,4188.9766
-21.5,87.5,4220.4727
-20.5,87.5,4220.4727
-19.5,87.5,4220.4727
-18.5,87.5,4220.4727
-17.5,87.5,4220.4727
-16.5,87.5,4251.9683
-15.5,87.5,4251.9683
-14.5,87.5,4220.4727
-13.5,87.5,4062.9922
-12.5,87.5,3968.504
-11.5,87.5,4062.9922
-10.5,87.5,4188.9766
-9.5,87.5,4314.9604
-8.5,87.5,4346.4565
-7.5,87.5,4346.4565
-6.5,87.5,4346.4565
-5.5,87.5,4346.4565
-4.5,87.5,4314.9604
-3.5,87.5,4314.9604
-2.5,87.5,4283.4644
-1.5,87.5,4283.4644
-0.5,87.5,4251.9683
0.5,87.5,4251.9683
1.5,87.5,4220.4727
2.5,87.5,4220.4727
3.5,87.5,4220.4727
4.5,87.5,4220.4727
5.5,87.5,4220.4727
6.5,87.5,4188.9766
7.5,87.5,4188.9766
8.5,87.5,4188.9766
9.5,87.5,4220.4727
10.5,87.5,4283.4644
11.5,87.5,4377.9526
12.5,87.5,4377.9526
13.5,87.5,4377.9526
14.5,87.5,4377.9526
15.5,87.5,4346.4565
16.5,87.5,4314.9604
17.5,87.5,4314.9604
18.5,87.5,4283.4644
19.5,87.5,4283.4644
20.5,87.5,4251.9683
21.5,87.5,4220.4727
22.5,87.5,4000
23.5,87.5,4062.9922
24.5,87.5,4251.9683
25.5,87.5,4251.9683
26.5,87.5,4283.4644
27.5,87.5,4251.9683
28.5,87.5,4188.9766
29.5,87.5,4094.4883
30.5,87.5,4031.496
31.5,87.5,4125.9844
32.5,87.5,4220.4727
33.5,87.5,4283.4644
34.5,87.5,4314.9604
35.5,87.5,4220.4727
36.5,87.5,4157.4805
37.5,87.5,4220.4727
38.5,87.5,4220.4727
39.5,87.5,4220.4727
40.5,87.5,4188.9766
41.5,87.5,4188.9766
42.5,87.5,4188.9766
43.5,87.5,3937.0078
44.5,87.5,3685.0393
45.5,87.5,3590.5513
46.5,87.5,3685.0393
47.5,87.5,3842.5198
48.5,87.5,3716.5354
49.5,87.5,3527.559
50.5,87.5,3370.0789
51.5,87.5,3527.559
52.5,87.5,3811.0237
53.5,87.5,4031.496
54.5,87.5,4125.9844
55.5,87.5,4125.9844
56.5,87.5,3779.5276
57.5,87.5,3559.0552
58.5,87.5,3905.5117
59.5,87.5,3811.0237
60.5,87.5,3685.0393
61.5,87.5,3653.5432
62.5,87.5,3590.5513
63.5,87.5,3622.0474
64.5,87.5,3527.559
65.5,87.5,3716.5354
66.5,87.5,4000
